id,name,image_url,user_id
624,Dutch ReBelle,https://i.scdn.co/image/ab6761610000e5eb18b71f5bccdedd6a1458741e,
625,Dwight Yoakam,https://i.scdn.co/image/ab6761610000e5eb28aebc3eaddd7d0f5f2d0eb7,
626,EELS,https://i.scdn.co/image/ab6761610000e5eb70fc0f8e1eece53e15f1db17,
627,EMF,https://i.scdn.co/image/ab67616d0000b2739563cb349790fc0dc5a69003,
628,Eagle-Eye Cherry,https://i.scdn.co/image/ab6761610000e5eb14a2242841c9c7376b19f087,
629,Eagles of Death Metal,https://i.scdn.co/image/9084649cb287a4cd52b6955fe9f5dd647fc4e431,
630,"Earth, Wind & Fire",https://i.scdn.co/image/ab6761610000e5eb9722e16a886767adf1178f92,
631,Echo & The Bunnymen,https://i.scdn.co/image/397489fba8899aa52cadb0f62662603f96065446,
632,Ed Sheeran,https://i.scdn.co/image/ab6761610000e5eb8eb08ed1a791d6e9fb041d61,
633,Eddie Japan,https://i.scdn.co/image/ab6761610000e5eb92ed2d8af74d073293b7c8a4,
634,Eddie Money,https://i.scdn.co/image/ab6761610000e5eb59808090fb17e636132b0d2a,
635,Ego Kill Talent,https://i.scdn.co/image/ab6761610000e5eb8e21a6d023d8599dbf342d0a,
636,Electric Six,https://i.scdn.co/image/ab6761610000e5eb911e16bcc336091c0cb42cba,
637,Elle King,https://i.scdn.co/image/ab6761610000e5eb98f1e053c254d51c7ebb9831,
638,Elle King & Miranda Lambert,,
639,Ellie Goulding,https://i.scdn.co/image/ab6761610000e5ebc3cd7dc428871e8985d62b9a,
640,Elton John,https://i.scdn.co/image/ab6761610000e5eb0dc33a1c53bb58a84b45d6a7,
641,Elton John - Dua Lipa,,
642,Endeverafter,https://i.scdn.co/image/ab67616d0000b2739c913ea3a6bef3576b5dfe8d,
643,Erasure,https://i.scdn.co/image/ab6761610000e5eb8415569615b5c7f5c03c8594,
644,Eric Cartman,https://i.scdn.co/image/ab6761610000e5ebcbd321568c9f3b529907083c,
645,Eric Church,https://i.scdn.co/image/ab6761610000e5eb31783fb959349f0c82e39bfe,
646,Escape the Fate,https://i.scdn.co/image/ab6761610000e5eb8b683fb42bab8b7eb5093134,
647,Europe,https://i.scdn.co/image/ab6761610000e5ebb136231528a99ff2de5d3a8d,
648,Evanescence,https://i.scdn.co/image/ab6761610000e5eb7ecf213c7dd78e0049379c5b,
649,Eve 6,https://i.scdn.co/image/ab6761610000e5eb27cdd82ff4e269d216ce7c03,
650,Everlife,https://i.scdn.co/image/3ab77a808f98b283eb06278cadec8cbd966760a9,
651,Evile,https://i.scdn.co/image/ab6761610000e5eba8f9f3cb937935038a8cb5e1,
652,Extreme,https://i.scdn.co/image/ab6761610000e5eba2816ccc399c2c820c3d0bb6,
653,Faith No More,https://i.scdn.co/image/765ad08f23f828d1a850c47ac417d7be260af932,
654,Fake Names,https://i.scdn.co/image/ab6761610000e5eb4011f539110e53af14b6d373,
655,Fall Out Boy,https://i.scdn.co/image/ab6761610000e5eb362011ebe6064c38e97e9aac,
656,Falling In Reverse,https://i.scdn.co/image/ab6761610000e5eb4a733f510df96652c3bea05b,
657,Family Force 5,https://i.scdn.co/image/ab6761610000e5eb7a57c0ea0bd98309be8e271c,
658,Fefe Dobson,https://i.scdn.co/image/ab6761610000e5eb9fda323786879685168f27cb,
659,Filter,https://i.scdn.co/image/ab6761610000e5eba65ceef7fe995c88c6c6ada6,
660,Fine Young Cannibals,https://i.scdn.co/image/ab6761610000e5eb61dce24c33b8b4d70fc587b6,
661,Finley,https://i.scdn.co/image/ab6761610000e5ebec1c9bc007ef5af8cbda8dc9,
662,Fitz and the Tantrums,https://i.scdn.co/image/ab6761610000e5eb756717e6695fbaeb236857a2,
663,Five Finger Death Punch,https://i.scdn.co/image/ab6761610000e5eb1e7f796a17c2dc3c28bdeeb9,
664,Flobots,https://i.scdn.co/image/ab6761610000e5ebe7bb49246bf67405b11f3de3,
665,Florence + the Machine,https://i.scdn.co/image/ab6761610000e5ebe3c37f869b830d1cf1ec829a,
666,Fly by Midnight,https://i.scdn.co/image/ab6761610000e5eb5a1c7aa77551b62c9cce74c9,
